Clothing_Item,Dress_Codes,Occasions
Long Sleeve Shirt,"['Formal', 'Business Casual', 'Smart Casual']","['Office', 'Meetings', 'Dinner', 'Dinner Party']"
Short Sleeve Shirt,"['Business Casual', 'Smart Casual', 'Casual']","['Office', 'Casual Outing', 'Lunch']"
Long Sleeve T-Shirt,"['Casual', 'Sporty', 'Streetwear']","['Casual Outing', 'Sports Events', 'Travel', 'Party']"
Short Sleeve T-Shirt,"['Casual', 'Sporty', 'Beachwear']","['Beach', 'Gym', 'Casual Outing', 'Everyday Wear', 'Party', 'Birthday Party']"
Jean,"['Casual', 'Smart Casual']","['Casual Outing', 'Office', 'Travel', 'Party', 'Birthday Party', 'Beach', 'Everyday Wear']"
Trouser,"['Formal', 'Business Casual']","['Office', 'Formal Events', 'Meetings', 'Party', 'Birthday Party', 'Dinner']"
Hoodie,"['Casual', 'Sporty', 'Streetwear']","['Casual Outing', 'Sports Events', 'Travel']"
Short,"['Casual', 'Sporty', 'Beachwear']","['Beach', 'Gym', 'Casual Outing', 'Everyday Wear', 'Party', 'Birthday Party']"
Leather Shoes,"['Formal', 'Business Casual']","['Office', 'Formal Events', 'Meetings', 'Dinner']"
Casual Shoes,"['Casual', 'Smart Casual']","['Casual Outing', 'Travel', 'Everyday Wear', 'Party', 'Birthday Party', 'Beach']"
