occasion,palette
Interview,Muted
Wedding,Pastel
Presentation,Professional
Party,Bold
Birthday Party,Bright
Casual Outing,Earthy
Gym,Sporty
Beach,Sunset
Office,Neutral
Travel,Nature
Outdoor,Nature
Daly,Soft
Sports Events,High Contrast
Date,Romantic
Dinner,Classic
Festival,Vibrant
Night Out,Dark
Picnic,Fresh
Business Meeting,Professional
Shopping,Trendy
Concert,Electric
Graduation,Celebratory
Hiking,Earthy
Religious Ceremony,Traditional
Photoshoot,Stylish
Rainy Day,Cool
Snow Day,Winter
Job Fair,Muted
Fashion Show,Avant-Garde
Coffee Meetup,Warm
Networking Event,Sophisticated
Yoga,Calm
Barbecue,Rustic
Baby Shower,Soft Pastel
Art Exhibition,Artistic
Airport Travel,Comfort
